state.x,county.x,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,builtup,forest,agriculture,other,impervious,total_pop.x,median_income,area_km2,pop_density,total_population,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,road_density_km_per_km2
VIRGINIA,Franklin County,2020/5/24,1,2,0,0,0,0,5,Spring,41,41,0,7.730000019,3.763370783,0,0,0,20.60000038,51.41999817,41.80919751,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2020/5/24,1,2,0,0,0,0,5,Spring,41,41,0,7.730000019,3.763370783,0,0,0,20.60000038,51.41999817,41.80919751,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2020/6/19,1,1,0,0,0,0,6,Summer,67,26,35.27999878,72.66000366,54.82513647,1.870000005,10.32999992,6.382969507,4.059999943,10.03999996,6.583194228,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2020/10/29,1,2,0,0,0,0,10,Fall,199,132,0,0,0,8.380000114,28.67000008,19.97349918,32.31999969,50.97000122,38.83144467,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2020/10/29,1,2,0,0,0,0,10,Fall,199,132,0,0,0,8.380000114,28.67000008,19.97349918,32.31999969,50.97000122,38.83144467,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2022/8/21,1,1,0,0,0,0,8,Summer,860,661,0,0,0,0,0,0,16.15999985,37.88000107,27.37950237,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin County,2024/8/8,1,7,0,0,0,0,8,Summer,1578,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,61.64000000000001,23.040000000000003,6.2299999999999995,1.4,56231,56779,1850.1702770915776,30.39233777357712,56231,4218,7.5,24.23123112194767,6.877979548018486,11.243131118308526,3.6063903344372066,7.731358491939299,3.805726443
VIRGINIA,Franklin city,2016/10/8,1,1,0,0,0,0,10,Fall,3654,3654,2.119999886,2.9000000950000002,2.542812519,37.43999863,55.86000061,46.56500018,160.4299927,171.2400055,165.9787507,47.4,16.549999999999997,16.330000000000002,19.71,17.5,8015,49811,21.65243452,370.1662273581674,8015,2023,25.24,19.020944958597173,10.435947394057475,16.31758402338042,3.153921091086215,51.68046760837798,3.805726443
VIRGINIA,Frederick County,2016/9/29,1,1,0,0,0,0,9,Fall,867,867,9.340000153,27.68000031,16.97091029,31.75,90.81999969,63.92676048,38.58000183,59.09999847,49.61882202,15.21,53.16,30.07,1.5799999999999998,4.11,88054,80011,1076.8874092811195,81.76713669517297,88054,2134,2.42,18.226126077874778,7.582882545123454,6.940174602,11.731562315890956,4.164747469337475,4.387996582
VIRGINIA,Frederick County,2024/8/9,1,1,0,0,0,0,8,Summer,3738,2871,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.21,53.16,30.07,1.5799999999999998,4.11,88054,80011,1076.8874092811195,81.76713669517297,88054,2134,2.42,18.226126077874778,7.582882545123454,6.940174602,11.731562315890956,4.164747469337475,4.387996582
