CZ_NAME,date_dt,STATE,injuries,fatalities,damage_property,n_episodes,n_events,label,month,season,prev_damage_date,prcp_min_d0,prcp_min_d1,prcp_min_d2,prcp_max_d0,prcp_max_d1,prcp_max_d2,prcp_avg_d0,prcp_avg_d1,prcp_avg_d2
ALEXANDRIA,2017-07-29,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,1.02999997138977,69.1999969482422,0.0,5.84999990463257,85.370002746582,0.0,3.74400002002716,75.424400177002,0.0
ALEXANDRIA,2018-05-14,VIRGINIA,0,0,0.0,1,1,0,5,Spring,,22.5,10.25,8.10999965667725,34.0400009155273,13.0299997329712,12.6000003814697,27.4558001327515,12.0389999198914,10.769400062561
ALEXANDRIA,2018-08-31,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,12.6599998474121,0.0,0.0,32.189998626709,2.99000000953674,0.0,22.6381998634338,0.856599995829165,0.0
ALEXANDRIA,2019-07-08,VIRGINIA,0,0,0.0,1,3,0,7,Summer,,84.629997253418,0.0,11.8400001525879,102.419998168945,8.57999992370605,17.3999996185303,91.7029997253418,2.5175999879837,15.2896000099182
ALEXANDRIA,2019-07-11,VIRGINIA,0,0,0.0,1,1,0,7,Summer,,21.0200004577637,0.0,0.0,45.0499992370605,0.0,0.0,32.7359998703003,0.0,0.0
ALEXANDRIA,2020-07-07,VIRGINIA,0,0,0.0,1,2,0,7,Summer,,0.0,53.939998626709,0.0,36.8600006103516,67.7900009155273,0.0,8.56199998140335,59.8052001190186,0.0
ALEXANDRIA,2020-09-10,VIRGINIA,0,0,0.0,1,4,0,9,Fall,,28.5900001525879,20.0400009155273,0.0,54.3600006103516,27.6200008392334,0.0,42.2912001419067,23.1140000152588,0.0
ALEXANDRIA,2021-08-15,VIRGINIA,0,0,0.0,1,5,0,8,Summer,,0.0,32.8400001525879,5.98000001907349,6.40999984741211,73.4800033569336,19.4099998474121,2.4114000082016,54.8633999633789,10.861799993515
ALEXANDRIA,2021-08-16,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,32.0200004577637,0.0,32.8400001525879,47.75,6.40999984741211,73.4800033569336,38.7030001831055,2.4114000082016,54.8633999633789
ALEXANDRIA,2021-08-20,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,20.8899993896484,8.84000015258789,0.0,39.7299995422363,24.7399997711182,5.42000007629395,27.420599937439,16.9165999603271,2.50119999736547
ALEXANDRIA,2021-09-16,VIRGINIA,0,0,0.0,1,2,0,9,Fall,,11.5900001525879,0.0,0.0,63.1199989318848,0.0,0.0,34.5839999198914,0.0,0.0
ALEXANDRIA,2022-07-16,VIRGINIA,0,0,0.0,1,2,0,7,Summer,,17.3099994659424,0.0,0.0,28.25,0.0,0.0,23.9847998809814,0.0,0.0
ALEXANDRIA,2022-08-10,VIRGINIA,0,0,0.0,1,1,0,8,Summer,,29.2800006866455,0.0,0.0,44.9799995422363,0.0,0.0,37.0557998275757,0.0,0.0
ALEXANDRIA,2023-08-14,VIRGINIA,0,0,0.0,1,7,0,8,Summer,,17.3600006103516,0.0,0.0,29.6100006103516,0.0,0.0,26.3068001174927,0.0,0.0
ALLEGANY COUNTY,1996-01-19,MARYLAND,0,0,7000000.0,1,1,1,1,Winter,,15.6400003433228,31.4899997711182,0.0,23.2000007629395,37.6199989318848,5.5,18.4475324308717,33.7048052007502,1.97207792766102
ALLEGANY COUNTY,1996-06-11,MARYLAND,0,0,50000.0,1,1,1,6,Summer,1996-01-19,21.2399997711182,1.23000001907349,7.94000005722046,32.439998626709,13.789999961853,18.8500003814697,25.6045455189494,6.27623372263723,11.7912986619132
ALLEGANY COUNTY,1996-09-06,MARYLAND,0,0,250000.0,1,1,1,9,Fall,1996-06-11,133.059997558594,0.0,1.78999996185303,146.289993286133,0.0,12.4099998474121,138.217013470538,0.0,5.63753244938788
ALLEGANY COUNTY,1998-05-04,MARYLAND,0,0,100000.0,1,1,1,5,Spring,1996-09-06,14.0799999237061,1.64999997615814,2.46000003814697,20.0599994659424,5.53999996185303,3.0699999332428,16.4345454302701,3.47805193647162,2.72402596164059
