state,county,date,n_episodes,n_events,total_property_damage,total_injuries,total_deaths,label,month,season,days_since_last_damaging_flood,days_since_prev_flood,impervious,exposed_population,pct_exposed,pct_age_65plus,pct_less_hs,pct_below_poverty,pct_hispanic,pct_nh_black,min.2,max.2,mean.2,min.1,max.1,mean.1,min,max,mean,population,population_density,Forest,Agriculture,Urban,Suburban,Rural,Median_Household_Income,road_density_km_per_km2
virginia,bedford county,2018-09-22,1,1,25000.0,0,0,1,9,Fall,51.0,51.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,7.78000020980835,28.0400009155273,16.0399076447952,0.0,0.0,0.0,29.4200000762939,87.3399963378906,58.5104220020425,78882.0,40.06886399280554,58.611,26.484,0.094,2.337,7.271,61541.0,3.87073344010436
virginia,bedford county,2019-05-02,1,1,5000.0,0,0,1,5,Spring,222.0,222.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9500007629395,3.61257255800796,78997.0,40.127279339261925,58.56,26.432,0.095,2.349,7.314,64199.0,3.87285958464364
virginia,bedford county,2020-04-13,1,1,134000.0,0,0,1,4,Spring,347.0,347.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,0.0,0.0,0.0,59.5200004577637,100.76000213623,84.1101187904781,0.0,25.3199996948242,9.42145118644181,79559.0,40.41275259759661,58.499,26.411,0.097,2.359,7.343,67136.0,3.86779365266666
virginia,bedford county,2021-06-11,1,1,0.0,0,0,0,6,Summer,424.0,424.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,5.53999996185303,23.6299991607666,9.66572559854915,1.62999999523163,19.0200004577637,6.5654089708756,40.7400016784668,72.4599990844727,56.3146305839116,80242.0,40.7596889595941,58.542,26.382,0.097,2.37,7.369,70870.0,3.86564537272719
virginia,bedford county,2021-06-13,1,2,1000.0,0,0,1,6,Summer,426.0,2.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,40.7400016784668,72.4599990844727,56.3146305839116,0.0,0.0,0.0,4.17000007629395,58.0999984741211,19.9789182246518,80242.0,40.7596889595941,58.542,26.382,0.097,2.37,7.369,70870.0,3.86564537272719
virginia,bedford county,2021-06-13,1,2,1000.0,0,0,1,6,Summer,426.0,2.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,40.7400016784668,72.4599990844727,56.3146305839116,0.0,0.0,0.0,4.17000007629395,58.0999984741211,19.9789182246518,80242.0,40.7596889595941,58.542,26.382,0.097,2.37,7.369,70870.0,3.86564537272719
virginia,bedford county,2021-09-22,1,2,11000.0,0,0,1,9,Fall,101.0,101.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,0.0,11.1999998092651,2.9790765075996,24.2199993133545,75.3499984741211,44.9313984093377,36.0,88.6999969482422,62.8038522020808,80242.0,40.7596889595941,58.542,26.382,0.097,2.37,7.369,70870.0,3.86564537272719
virginia,bedford county,2021-09-22,1,2,11000.0,0,0,1,9,Fall,101.0,101.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,0.0,11.1999998092651,2.9790765075996,24.2199993133545,75.3499984741211,44.9313984093377,36.0,88.6999969482422,62.8038522020808,80242.0,40.7596889595941,58.542,26.382,0.097,2.37,7.369,70870.0,3.86564537272719
virginia,bedford county,2024-08-03,1,1,0.0,0,0,0,8,Summer,1046.0,1046.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,,,,,,,,,,,,,,,,,,
virginia,bedford county,2024-08-08,1,1,0.0,0,0,0,8,Summer,1051.0,5.0,1.59,4462,5.65,22.70790240984873,5.640840331946071,8.010815660278615,2.7088992448974505,5.969795898023775,,,,,,,,,,,,,,,,,,
