"","State","County","Year","Forest","Agriculture","Urban","Suburban","Rural"
"120","VIRGINIA","FAIRFAX City",1996,5.191,0,8.163,57.914,28.721
"121","VIRGINIA","BEDFORD City",1996,NA,NA,NA,NA,NA
"122","VIRGINIA","CHARLES CITY",1996,64.533,14.755,0.014,0.733,2.767
"123","VIRGINIA","POWHATAN County",1996,73.443,16.086,0.009,0.785,5.297
"124","VIRGINIA","HOPEWELL",1996,18.064,0.148,9.588,56.586,9.657
"125","VIRGINIA","ACCOMACK County",1996,28.365,22.821,0.086,3.244,2.445
"126","VIRGINIA","WINCHESTER",1996,8.889,8.377,9.947,53.867,18.824
"127","VIRGINIA","NORTON",1996,62.322,0.332,2.155,20.382,11.459
"128","VIRGINIA","BRISTOL",1996,19.204,8.942,5.979,42.636,22.654
"129","VIRGINIA","LEXINGTON",1996,7.551,3.609,2.903,47.37,37.315
"130","VIRGINIA","CUMBERLAND County",1996,73.044,17.038,0.023,0.696,3.975
"131","VIRGINIA","BUENA VISTA",1996,43.235,12.916,2.228,29.236,10.791
"132","VIRGINIA","PRINCE EDWARD County",1996,70.766,17.901,0.075,1.762,4.949
"133","VIRGINIA","GOOCHLAND County",1996,67.676,18.459,0.014,1.389,6.177
"134","VIRGINIA","GALAX",1996,27.484,17.028,4.566,23.642,26.793
"135","VIRGINIA","RADFORD",1996,34.089,8.425,2.348,32.7,18.154
"136","VIRGINIA","FLUVANNA County",1996,69.343,16.281,0.016,0.887,5.847
"137","MARYLAND","WASHINGTON County",1996,39.566,42.325,0.549,7.664,7.445
"138","MARYLAND","FREDERICK County",1996,34.122,50.019,0.403,6.385,7.943
"139","MARYLAND","BALTIMORE County",1996,36.238,23.709,2.153,19.857,13.243
"140","MARYLAND","HARFORD County",1996,41.025,32.057,0.597,9.204,10.495
"141","MARYLAND","CECIL County",1996,38.026,38.709,0.307,5.509,7.628
"142","MARYLAND","MONTGOMERY County",1996,30.645,26.23,1.243,20.134,19.278
"143","MARYLAND","HOWARD County",1996,34.166,29.96,1.062,16.84,17.049
"144","MARYLAND","BALTIMORE CITY",1996,4.259,0.09,25.124,54.383,10.011
"145","MARYLAND","CARROLL County",1996,28.193,53.853,0.256,6.805,9.797
"146","MARYLAND","PRINCE GEORGE'S County",1996,41.58,11.245,2.063,25.514,13.629
"147","MARYLAND","ANNE ARUNDEL County",1996,40.447,10.396,1.649,22.569,14.258
"148","MARYLAND","GARRETT County",1996,72.625,16.999,0.029,1.47,4.675
"149","MARYLAND","ALLEGANY County",1996,77.519,9.07,0.395,4.695,5.773
"150","MARYLAND","CALVERT County",1996,55.776,13.418,0.179,5.241,10.441
"151","MARYLAND","ST. MARY'S County",1996,51.255,21.102,0.403,5.404,6.895
"152","MARYLAND","TALBOT County",1996,23.798,49.578,0.197,4.522,4.921
"153","MARYLAND","CAROLINE County",1996,31.344,57.249,0.1,3.929,4.194
"154","MARYLAND","QUEEN ANNE'S County",1996,25.588,56.851,0.129,4.44,5.231
"155","MARYLAND","CHARLES County",1996,63.841,14.282,0.231,5.056,6.719
"156","MARYLAND","KENT County",1996,24.035,59.585,0.109,3.072,3.892
"157","MARYLAND","WORCESTER County",1996,42.098,24.912,0.524,3.438,3.167
"158","MARYLAND","WICOMICO County",1996,43.546,33.837,0.546,7.12,5.585
"159","MARYLAND","DORCHESTER County",1996,33.258,28.718,0.128,2.781,2.298
"160","MARYLAND","SOMERSET County",1996,40.71,20.846,0.086,2.976,3.011
"161","DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA",1997,7.989,0.104,12.089,55.997,14.052
"162","VIRGINIA","WYTHE County",1997,54.266,37.606,0.092,2.005,4.941
"163","VIRGINIA","CAMPBELL County",1997,58.889,24.153,0.163,2.82,6.571
"164","VIRGINIA","TAZEWELL County",1997,71.22,20.836,0.127,2.241,5.084
"165","VIRGINIA","CARROLL County",1997,62.031,28.519,0.029,1.081,6.953
"166","VIRGINIA","CRAIG County",1997,84.87,11.082,0.002,0.306,3.259
"167","VIRGINIA","PULASKI County",1997,57.008,29.71,0.23,3.722,6.17
"168","VIRGINIA","ROANOKE County",1997,69.098,10.092,0.404,7.697,12.222
"169","VIRGINIA","MONTGOMERY County",1997,62.22,23.974,0.323,5.115,7.697
"170","VIRGINIA","ARLINGTON County",1997,2.954,0,10.857,63.517,22.059
"171","VIRGINIA","PITTSYLVANIA County",1997,60.289,26.404,0.038,1.816,5.592
"172","VIRGINIA","HIGHLAND County",1997,79.365,16.773,0.004,0.209,2.377
"173","VIRGINIA","ROCKBRIDGE County",1997,69.304,23.938,0.053,1.416,4.61
"174","VIRGINIA","SMYTH County",1997,68.716,24.215,0.141,1.769,4.754
"175","VIRGINIA","RAPPAHANNOCK County",1997,68.307,27.859,0.002,0.381,3.181
"176","VIRGINIA","BLAND County",1997,78.515,17.491,0.006,0.597,2.971
"177","VIRGINIA","GILES County",1997,79.996,13.129,0.086,1.564,4.201
"178","VIRGINIA","SPOTSYLVANIA County",1997,66.918,13.29,0.188,3.885,7.572
"179","VIRGINIA","WISE County",1997,80.681,3.711,0.087,2.873,5.142
"180","VIRGINIA","FREDERICK County",1997,55.39,32.383,0.234,4.381,6.71
"181","VIRGINIA","SHENANDOAH County",1997,60.194,31.006,0.088,2.58,5.534
"182","VIRGINIA","PATRICK County",1997,76.768,15.337,0.02,0.59,5.65
"183","VIRGINIA","NELSON County",1997,78.472,13.524,0.008,0.678,4.526
"184","VIRGINIA","ALBEMARLE County",1997,66.475,22.712,0.103,1.871,6.611
"185","VIRGINIA","GREENE County",1997,67.387,24.475,0.032,1.245,6.231
"186","VIRGINIA","MADISON County",1997,61.897,32.953,0.017,0.596,4.067
"187","VIRGINIA","PAGE County",1997,66.44,24.428,0.063,2.489,5.423
"188","VIRGINIA","STAFFORD County",1997,68.075,9.996,0.222,5.977,9.463
"189","VIRGINIA","ALLEGHANY County",1997,89.251,4.772,0.081,1.631,3.281
"190","VIRGINIA","WARREN County",1997,63.462,23.115,0.251,3.638,7.844
"191","VIRGINIA","SCOTT County",1997,74.161,17.41,0.03,1.091,4.955
"192","VIRGINIA","ROCKINGHAM County",1997,57.557,34.261,0.072,2.596,5.086
"193","VIRGINIA","APPOMATTOX County",1997,64.13,21.671,0.04,1.152,4.907
"194","VIRGINIA","LOUDOUN County",1997,37.278,48.001,0.436,5.747,7.51
"195","VIRGINIA","RUSSELL County",1997,63.533,28.986,0.038,1.517,4.567
"196","VIRGINIA","DICKENSON County",1997,88.56,2.763,0.008,0.854,4.44
"197","VIRGINIA","AUGUSTA County",1997,57.411,35.089,0.094,2.112,4.947
"198","VIRGINIA","ORANGE County",1997,56.787,33.875,0.066,1.113,5.518
"199","VIRGINIA","BUCHANAN County",1997,92.524,0.521,0.024,1.535,3.401
"200","VIRGINIA","HENRY County",1997,71.466,12.329,0.378,3.931,7.886
"201","VIRGINIA","FRANKLIN County",1997,65.531,22.833,0.058,1.37,6.375
"202","VIRGINIA","SOUTHAMPTON County",1997,59.912,29.563,0.015,1.461,2.913
"203","VIRGINIA","LEE County",1997,67.071,22.075,0.019,1.422,5.824
"204","VIRGINIA","BEDFORD County",1997,61.92,26.566,0.052,1.659,6.43
"205","VIRGINIA","FAUQUIER County",1997,48.664,43.608,0.046,1.532,4.96
"206","VIRGINIA","CULPEPER County",1997,48.267,42.734,0.094,1.582,5.008
"207","VIRGINIA","KING WILLIAM County",1997,62.532,20.881,0.065,1.184,3.233
"208","VIRGINIA","CLARKE County",1997,37.637,54.08,0.046,1.922,5.287
"209","VIRGINIA","FAIRFAX County",1997,32.404,3.185,2.225,32.975,26.245
"210","VIRGINIA","AMHERST County",1997,76.942,13.85,0.054,1.375,4.901
"211","VIRGINIA","BOTETOURT County",1997,74.138,17.2,0.071,1.819,4.943
"212","VIRGINIA","BATH County",1997,89.71,6.173,0.01,0.368,2.327
"213","VIRGINIA","GRAYSON County",1997,65.621,26.487,0.016,0.534,5.177
"214","VIRGINIA","LOUISA County",1997,68.684,16.414,0.062,1.133,5.253
"215","VIRGINIA","DINWIDDIE County",1997,67.524,14.253,0.065,2.289,4.266
"216","VIRGINIA","HALIFAX County",1997,67.261,21.283,0.075,1.45,4.273
"217","VIRGINIA","KING AND QUEEN County",1997,66.195,17.063,0.004,0.713,2.998
"218","VIRGINIA","PRINCE WILLIAM County",1997,52.331,18.602,0.854,12.293,12.405
"219","VIRGINIA","CHESAPEAKE",1997,51.034,23.315,1.279,13.134,6.361
"220","VIRGINIA","VIRGINIA BEACH",1997,23.032,14.453,2.522,24.452,7.758
"221","VIRGINIA","NORFOLK",1997,2.794,0.005,18.388,59.189,8.354
"222","VIRGINIA","CHARLOTTE County",1997,66.414,20.509,0.015,0.903,4.189
"223","VIRGINIA","FLOYD County",1997,62.932,29.91,0.009,0.563,5.981
"224","VIRGINIA","BUCKINGHAM County",1997,72.189,12.866,0.008,0.611,3.962
"225","VIRGINIA","COVINGTON",1997,38.946,6.293,5.021,33.918,14.055
"226","VIRGINIA","WASHINGTON County",1997,57.531,33.473,0.11,2.134,5.915
"227","VIRGINIA","SALEM",1997,10.228,3.186,7.61,48.528,30.418
"228","VIRGINIA","ROANOKE City",1997,9.746,2.45,9.588,50.353,27.34
"229","VIRGINIA","DANVILLE",1997,34.303,6.226,4.32,32.064,20.671
"230","VIRGINIA","CHARLOTTESVILLE",1997,7.621,0.305,6.148,51.731,33.828
"231","VIRGINIA","KING GEORGE County",1997,65.337,18.329,0.099,2.565,5.388
"232","VIRGINIA","HANOVER County",1997,62.389,21.113,0.295,4.891,7.096
"233","VIRGINIA","SALEM City",1997,10.228,3.186,7.61,48.528,30.418
"234","VIRGINIA","PORTSMOUTH",1997,4.649,1.48,9.794,55.359,8.716
"235","VIRGINIA","LUNENBURG County",1997,70.296,15.601,0.037,0.985,4.168
"236","VIRGINIA","SUFFOLK",1997,54.971,26.108,0.257,4.623,4.502
"237","VIRGINIA","ALEXANDRIA",1997,2.346,0.011,16.838,63.66,14.942
"238","VIRGINIA","HENRICO County",1997,39.601,10.016,1.833,25.187,17.349
"239","VIRGINIA","RICHMOND City",1997,10.111,0.059,10.577,53.338,22.009
"240","VIRGINIA","NORTHAMPTON County",1997,14.469,23.226,0.051,2.42,1.348
"241","VIRGINIA","MATHEWS County",1997,56.359,10.31,0.033,2.197,4.335
"242","VIRGINIA","HAMPTON",1997,12.393,0.466,6.372,49.323,12.243
"243","VIRGINIA","FRANKLIN City",1997,36.022,19.179,2.482,26.798,12.063
"244","VIRGINIA","WESTMORELAND County",1997,55.074,27.769,0.046,2.392,4.715
"245","VIRGINIA","LANCASTER County",1997,56.173,20.608,0.063,2.107,6.054
"246","VIRGINIA","MIDDLESEX County",1997,56.896,22.07,0.066,2.92,4.962
"247","VIRGINIA","BRUNSWICK County",1997,70.097,11.175,0.018,1.349,3.87
"248","VIRGINIA","PETERSBURG",1997,31.857,6.463,4.664,41.086,12.757
"249","VIRGINIA","ESSEX County",1997,59.474,24.772,0.069,1.428,3.235
"250","VIRGINIA","CAROLINE County",1997,72.188,13.958,0.041,1.574,4.303
"251","VIRGINIA","ISLE OF WIGHT County",1997,52.331,31.685,0.149,3.045,4.358
"252","VIRGINIA","EMPORIA",1997,35.537,10.352,3.535,32.899,14.417
"253","VIRGINIA","COLONIAL HEIGHTS",1997,21.266,0,5.481,55.909,11.323
"254","VIRGINIA","CHESTERFIELD County",1997,59.857,4.002,0.726,11.893,15.81
"255","VIRGINIA","NEW KENT County",1997,67.918,9.814,0.01,1.765,4.966
"256","VIRGINIA","AMELIA County",1997,68.419,19.71,0.016,0.842,3.85
"257","VIRGINIA","SURRY County",1997,65.113,21.434,0.05,0.89,3.163
"258","VIRGINIA","WILLIAMSBURG",1997,42.8,0.373,1.603,27.193,25.441
"259","VIRGINIA","YORK County",1997,49.463,2.721,0.693,13.175,11.762
"260","VIRGINIA","SUSSEX County",1997,68.507,16.8,0.022,1.519,2.608
"261","VIRGINIA","POQUOSON",1997,13.933,0.056,0.19,16.239,8.136
"262","VIRGINIA","MECKLENBURG County",1997,57.706,20.342,0.077,1.927,4.764
"263","VIRGINIA","MARTINSVILLE",1997,30.316,0.765,5.208,34.331,28.845
"264","VIRGINIA","NEWPORT NEWS",1997,20.965,1.037,7.515,44.581,15.465
"265","VIRGINIA","NOTTOWAY County",1997,66.633,17.128,0.185,2.744,5.006
"266","VIRGINIA","GREENSVILLE County",1997,67,18.935,0.036,1.911,2.698
"267","VIRGINIA","NORTHUMBERLAND County",1997,50.805,27.322,0.032,1.775,5.649
"268","VIRGINIA","RICHMOND County",1997,60.155,25.516,0.036,1.418,3.684
"269","VIRGINIA","PRINCE GEORGE County",1997,63.661,14.832,0.146,4.246,4.332
"270","VIRGINIA","JAMES CITY County",1997,55.162,7.591,0.348,7.05,11.728
"271","VIRGINIA","GLOUCESTER County",1997,57.89,11.543,0.073,3.052,5.015
"272","VIRGINIA","WAYNESBORO",1997,21.711,20.913,4.948,33.958,18.299
"273","VIRGINIA","HARRISONBURG",1997,8.711,19.626,7.254,44.474,19.738
"274","VIRGINIA","STAUNTON",1997,18.201,31.442,2.397,28.093,19.58
"275","VIRGINIA","LYNCHBURG",1997,37.317,6.064,3.358,27.666,24.539
"276","VIRGINIA","FREDERICKSBURG",1997,31.492,6.64,3.709,41.124,15.512
"277","VIRGINIA","FALLS CHURCH",1997,0.392,0,9.801,55.848,33.959
"278","VIRGINIA","MANASSAS City",1997,5.158,4.307,6.52,61.964,21.839
"279","VIRGINIA","MANASSAS PARK",1997,27.816,1.919,4.122,41.271,24.403
"280","VIRGINIA","FAIRFAX City",1997,5.191,0,8.163,57.919,28.721
"281","VIRGINIA","BEDFORD City",1997,NA,NA,NA,NA,NA
"282","VIRGINIA","CHARLES CITY",1997,64.321,14.781,0.014,0.738,2.797
"283","VIRGINIA","POWHATAN County",1997,73.07,16.124,0.009,0.795,5.438
"284","VIRGINIA","HOPEWELL",1997,18.004,0.142,9.588,56.615,9.701
"285","VIRGINIA","ACCOMACK County",1997,28.276,22.783,0.086,3.255,2.468
"286","VIRGINIA","WINCHESTER",1997,8.726,8.091,9.947,53.986,19.136
"287","VIRGINIA","NORTON",1997,62.137,0.332,2.191,20.445,11.621
"288","VIRGINIA","BRISTOL",1997,19.107,8.889,5.979,42.722,22.709
"289","VIRGINIA","LEXINGTON",1997,7.604,3.409,2.903,47.396,37.528
"290","VIRGINIA","CUMBERLAND County",1997,73.042,17.12,0.023,0.7,4.005
"291","VIRGINIA","BUENA VISTA",1997,43.024,12.771,2.228,29.411,10.951
"292","VIRGINIA","PRINCE EDWARD County",1997,69.841,18.035,0.075,1.766,5.014
"293","VIRGINIA","GOOCHLAND County",1997,67.699,18.535,0.014,1.407,6.338
"294","VIRGINIA","GALAX",1997,27.635,16.763,4.566,23.671,26.908
"295","VIRGINIA","RADFORD",1997,34.15,8.408,2.348,32.717,18.235
"296","VIRGINIA","FLUVANNA County",1997,69.502,16.33,0.016,0.894,5.915
"297","MARYLAND","WASHINGTON County",1997,39.514,42.247,0.55,7.703,7.543
"298","MARYLAND","FREDERICK County",1997,34.09,49.831,0.404,6.435,8.132
"299","MARYLAND","BALTIMORE County",1997,36.164,23.571,2.154,19.927,13.423
"300","MARYLAND","HARFORD County",1997,40.911,31.858,0.598,9.28,10.732
"301","MARYLAND","CECIL County",1997,37.94,38.602,0.308,5.544,7.761
"302","MARYLAND","MONTGOMERY County",1997,30.54,25.986,1.243,20.205,19.571
"303","MARYLAND","HOWARD County",1997,33.972,29.587,1.062,16.947,17.52
"304","MARYLAND","BALTIMORE CITY",1997,4.257,0.09,25.13,54.427,10.007
"305","MARYLAND","CARROLL County",1997,28.139,53.655,0.256,6.833,10.004
"306","MARYLAND","PRINCE GEORGE'S County",1997,41.405,11.114,2.064,25.607,13.832
"307","MARYLAND","ANNE ARUNDEL County",1997,40.295,10.331,1.651,22.656,14.408
"308","MARYLAND","GARRETT County",1997,72.622,17.003,0.029,1.476,4.701
"309","MARYLAND","ALLEGANY County",1997,77.457,9.079,0.395,4.702,5.829
"310","MARYLAND","CALVERT County",1997,55.658,13.355,0.179,5.266,10.613
"311","MARYLAND","ST. MARY'S County",1997,51.069,21.077,0.403,5.43,7.004
"312","MARYLAND","TALBOT County",1997,23.756,49.499,0.197,4.543,4.978
"313","MARYLAND","CAROLINE County",1997,31.25,57.215,0.1,3.947,4.222
"314","MARYLAND","QUEEN ANNE'S County",1997,25.582,56.784,0.129,4.464,5.275
"315","MARYLAND","CHARLES County",1997,63.662,14.246,0.232,5.094,6.871
"316","MARYLAND","KENT County",1997,24.034,59.554,0.109,3.084,3.921
"317","MARYLAND","WORCESTER County",1997,41.949,24.874,0.525,3.466,3.227
"318","MARYLAND","WICOMICO County",1997,43.309,33.752,0.546,7.144,5.664
