Year,State,County,Median_Household_Income
2011,Virginia,"Spotsylvania County, Virginia",78299.0
2011,Virginia,"Clarke County, Virginia",77048.0
2011,Virginia,"King and Queen County, Virginia",48170.0
2011,Virginia,"New Kent County, Virginia",71198.0
2011,Virginia,"Dickenson County, Virginia",30556.0
2011,Virginia,"Loudoun County, Virginia",120096.0
2011,Virginia,"Roanoke County, Virginia",62895.0
2011,Virginia,"Highland County, Virginia",43045.0
2011,Virginia,"Gloucester County, Virginia",62067.0
2011,Virginia,"Powhatan County, Virginia",76235.0
2011,Virginia,"Fauquier County, Virginia",87958.0
2011,Virginia,"Chesapeake city, Virginia",70115.0
2011,Virginia,"Albemarle County, Virginia",65934.0
2011,Virginia,"Bedford County, Virginia",56021.0
2011,Virginia,"Wise County, Virginia",34717.0
2011,Virginia,"Portsmouth city, Virginia",46340.0
2011,Virginia,"Alleghany County, Virginia",44329.0
2011,Virginia,"Galax city, Virginia",24711.0
2011,Virginia,"Northumberland County, Virginia",51256.0
2011,Virginia,"Warren County, Virginia",61379.0
2011,Virginia,"Fredericksburg city, Virginia",44498.0
2011,Virginia,"Arlington County, Virginia",99651.0
2011,Virginia,"Hopewell city, Virginia",36477.0
2011,Virginia,"Frederick County, Virginia",66440.0
2011,Virginia,"York County, Virginia",83747.0
2011,Virginia,"Nelson County, Virginia",47426.0
2011,Virginia,"Pittsylvania County, Virginia",40333.0
2011,Virginia,"Falls Church city, Virginia",120332.0
2011,Virginia,"Poquoson city, Virginia",86611.0
2011,Virginia,"Waynesboro city, Virginia",43605.0
2011,Virginia,"Salem city, Virginia",48050.0
2011,Virginia,"Norfolk city, Virginia",43914.0
2011,Virginia,"Fairfax County, Virginia",108439.0
2011,District of Columbia,"District of Columbia, District of Columbia",61835.0
2012,Maryland,"Worcester County, Maryland",58138.0
2012,Maryland,"Baltimore city, Maryland",40803.0
2012,Maryland,"Somerset County, Maryland",41558.0
2012,Maryland,"Talbot County, Maryland",62942.0
2012,Maryland,"Harford County, Maryland",80441.0
2012,Maryland,"Howard County, Maryland",107821.0
2012,Maryland,"Prince George's County, Maryland",73568.0
2012,Maryland,"Baltimore County, Maryland",66068.0
2012,Maryland,"Frederick County, Maryland",83706.0
2012,Maryland,"Garrett County, Maryland",45354.0
2012,Maryland,"Kent County, Maryland",54614.0
2012,Maryland,"Carroll County, Maryland",83155.0
2012,Maryland,"Queen Anne's County, Maryland",86013.0
2012,Maryland,"Charles County, Maryland",93063.0
2012,Maryland,"Washington County, Maryland",54561.0
2012,Maryland,"Wicomico County, Maryland",50639.0
2012,Maryland,"Caroline County, Maryland",60735.0
2012,Maryland,"Allegany County, Maryland",39087.0
2012,Maryland,"Anne Arundel County, Maryland",86987.0
2012,Maryland,"Calvert County, Maryland",92395.0
2012,Maryland,"Montgomery County, Maryland",96985.0
2012,Maryland,"St. Mary's County, Maryland",85032.0
2012,Maryland,"Dorchester County, Maryland",46199.0
2012,Maryland,"Cecil County, Maryland",66025.0
2012,Virginia,"James City County, Virginia",76767.0
2012,Virginia,"Russell County, Virginia",32637.0
2012,Virginia,"Smyth County, Virginia",34394.0
2012,Virginia,"Bedford city, Virginia",35863.0
2012,Virginia,"Lexington city, Virginia",36511.0
2012,Virginia,"Campbell County, Virginia",45432.0
2012,Virginia,"Henry County, Virginia",34373.0
2012,Virginia,"King George County, Virginia",82195.0
2012,Virginia,"Lancaster County, Virginia",49516.0
2012,Virginia,"Lee County, Virginia",31729.0
2012,Virginia,"Mathews County, Virginia",55590.0
2012,Virginia,"Prince Edward County, Virginia",36743.0
2012,Virginia,"Prince George County, Virginia",63031.0
2012,Virginia,"Rockingham County, Virginia",51721.0
2012,Virginia,"Scott County, Virginia",37544.0
2012,Virginia,"Surry County, Virginia",52955.0
2012,Virginia,"Appomattox County, Virginia",50092.0
2012,Virginia,"Franklin County, Virginia",45049.0
2012,Virginia,"Mecklenburg County, Virginia",35399.0
2012,Virginia,"Montgomery County, Virginia",44166.0
2012,Virginia,"Augusta County, Virginia",50971.0
2012,Virginia,"Cumberland County, Virginia",43137.0
2012,Virginia,"Goochland County, Virginia",82683.0
2012,Virginia,"Halifax County, Virginia",35191.0
2012,Virginia,"Madison County, Virginia",54510.0
2012,Virginia,"Prince William County, Virginia",96160.0
2012,Virginia,"Southampton County, Virginia",46703.0
2012,Virginia,"Brunswick County, Virginia",33859.0
2012,Virginia,"Caroline County, Virginia",58044.0
2012,Virginia,"Northampton County, Virginia",34304.0
2012,Virginia,"Patrick County, Virginia",35599.0
2012,Virginia,"Rockbridge County, Virginia",45859.0
2012,Virginia,"Shenandoah County, Virginia",49953.0
2012,Virginia,"Norton city, Virginia",38983.0
2012,Virginia,"Chesapeake city, Virginia",70244.0
2012,Virginia,"Albemarle County, Virginia",67797.0
2012,Virginia,"Bedford County, Virginia",56906.0
2012,Virginia,"Wise County, Virginia",35120.0
2012,Virginia,"Portsmouth city, Virginia",46269.0
2012,Virginia,"Alleghany County, Virginia",46133.0
2012,Virginia,"Galax city, Virginia",24059.0
2012,Virginia,"Staunton city, Virginia",42918.0
2012,Virginia,"Fluvanna County, Virginia",71181.0
2012,Virginia,"Amelia County, Virginia",50596.0
2012,Virginia,"Radford city, Virginia",29757.0
